=== Multi-Run Synthesis Results ===
=== Wed May 20 13:28:05 -0500 2026 ===
variant,run,Fmax_MHz,WNS_ns,LUTs,FFs
4-stage,1,75.9,-8.181,6606,7951
4-stage,2,75.9,-8.181,6606,7951
4-stage,3,75.9,-8.181,6606,7951
5-stage,1,75.9,-8.183,6797,8121
5-stage,2,75.9,-8.183,6797,8121
5-stage,3,75.9,-8.183,6797,8121
6-stage,1,115.5,-3.657,7028,8416
6-stage,2,115.5,-3.657,7028,8416
6-stage,3,115.5,-3.657,7028,8416
7-stage,1,114.4,-3.741,7073,8487
7-stage,2,114.4,-3.741,7073,8487
7-stage,3,114.4,-3.741,7073,8487
8-stage,1,119.2,-3.388,7124,8625
8-stage,2,119.2,-3.388,7124,8625
8-stage,3,119.2,-3.388,7124,8625
