=== SGF 10-Seed Synthesis Results ===
=== Sat May 23 01:17:10 -0500 2026 ===
variant,run,Fmax_MHz,WNS_ns,LUTs,FFs
7stage_sgf,1,113.7,-3.797,7815,8601
7stage_sgf,2,120.7,-3.286,7817,8606
7stage_sgf,3,117.2,-3.535,7814,8601
7stage_sgf,4,119.0,-3.404,7831,8565
7stage_sgf,5,113.7,-3.797,7815,8601
7stage_sgf,6,119.4,-3.373,7796,8617
7stage_sgf,7,118.0,-3.475,7817,8606
7stage_sgf,8,119.1,-3.396,7810,8664
7stage_sgf,9,115.9,-3.629,7816,8601
7stage_sgf,10,118.0,-3.475,7817,8606
8stage_sgf,1,118.6,-3.434,7877,8690
8stage_sgf,2,120.1,-3.325,7881,8694
8stage_sgf,3,115.4,-3.668,7877,8690
8stage_sgf,4,120.0,-3.334,7873,8717
8stage_sgf,5,118.6,-3.434,7877,8690
8stage_sgf,6,118.0,-3.476,7865,8698
8stage_sgf,7,120.3,-3.316,7881,8694
8stage_sgf,8,117.9,-3.480,7881,8737
8stage_sgf,9,116.6,-3.576,7877,8690
8stage_sgf,10,120.3,-3.316,7881,8694
