benchmark,stage,misprediction_reduction_pct,mpki_reduction_pct,cpi_reduction_pct,speedup_pct,speedup
aha-mont64,6,17.242860,17.242860,1.289288,1.306128,1.013061
aha-mont64,7,17.242860,17.242860,1.231982,1.247349,1.012473
aha-mont64,8,17.242860,17.242860,1.237402,1.252906,1.012529
bench_branch_heavy,6,20.991254,20.991254,3.195266,3.300733,1.033007
bench_branch_heavy,7,11.265165,11.265165,1.122976,1.135730,1.011357
bench_branch_heavy,8,12.998267,12.998267,1.449944,1.471277,1.014713
coremark,6,34.177067,34.177067,2.974876,3.066089,1.030661
coremark,7,31.363021,31.363021,2.730646,2.807304,1.028073
coremark,8,30.933270,30.933270,2.494263,2.558068,1.025581
crc32,6,-48.546512,-48.546512,-0.008980,-0.008979,0.999910
crc32,7,-48.546512,-48.546512,-0.008226,-0.008226,0.999918
crc32,8,-49.127907,-49.127907,-0.008094,-0.008093,0.999919
edn,6,0.000000,0.000000,0.000000,0.000000,1.000000
edn,7,0.000000,0.000000,0.000000,0.000000,1.000000
edn,8,0.000000,0.000000,0.000000,0.000000,1.000000
huffbench,6,42.485661,42.485661,6.225466,6.638760,1.066388
huffbench,7,42.486263,42.486263,7.344898,7.927138,1.079271
huffbench,8,42.335025,42.335025,6.683056,7.161674,1.071617
matmult-int,6,0.432355,0.432355,0.004346,0.004347,1.000043
matmult-int,7,0.432355,0.432355,0.004665,0.004665,1.000047
matmult-int,8,0.432355,0.432355,0.004099,0.004099,1.000041
nettle-aes,6,22.876247,22.876247,0.118866,0.119007,1.001190
nettle-aes,7,20.716869,20.716869,0.105039,0.105149,1.001051
nettle-aes,8,20.760715,20.760715,0.093883,0.093971,1.000940
sglib-combined,6,20.202648,20.202648,2.352662,2.409346,1.024093
sglib-combined,7,21.756940,21.756940,2.718324,2.794282,1.027943
sglib-combined,8,17.543689,17.543689,2.024530,2.066364,1.020664
statemate,6,19.026783,19.026783,0.920673,0.929228,1.009292
statemate,7,22.707233,22.707233,1.052465,1.063660,1.010637
statemate,8,22.707233,22.707233,0.929146,0.937860,1.009379
