benchmark,stage,sgf_counter,shadow_counter,depth,ghr_diff,btb_hit,issued,issued_agree,issued_differ,agree,differ,sgf_only_correct,committed_only_correct,both_correct,both_wrong
aha-mont64,6,00,00,0,0,0,27942,27942,0,26998,0,0,0,26523,475
aha-mont64,6,00,00,0,0,1,158398,158398,0,158398,0,0,0,135224,23174
aha-mont64,6,00,00,0,1,0,4260,4260,0,4260,0,0,0,4259,1
aha-mont64,6,00,00,0,1,1,5675,5675,0,5675,0,0,0,3310,2365
aha-mont64,6,00,00,1,0,0,1417,1417,0,1417,0,0,0,946,471
aha-mont64,6,00,00,1,0,1,1,1,0,1,0,0,0,0,1
aha-mont64,6,00,00,1,1,0,1,1,0,0,0,0,0,0,0
aha-mont64,6,00,00,1,1,1,44873,44873,0,23615,0,0,0,23615,0
aha-mont64,6,00,00,2,1,0,1,1,0,0,0,0,0,0,0
aha-mont64,6,00,01,0,1,0,9,9,0,0,0,0,0,0,0
aha-mont64,6,00,01,0,1,1,16,16,0,16,0,0,0,8,8
aha-mont64,6,00,01,1,1,0,14,14,0,4,0,0,0,4,0
aha-mont64,6,00,01,1,1,1,1001,1001,0,974,0,0,0,974,0
aha-mont64,6,00,01,2,1,0,1,1,0,0,0,0,0,0,0
aha-mont64,6,00,10,0,1,1,3,0,3,0,3,2,1,0,0
aha-mont64,6,00,10,1,1,0,10,10,0,1,0,0,0,1,0
aha-mont64,6,00,10,1,1,1,17064,0,17064,0,8063,7117,946,0,0
aha-mont64,6,00,10,2,1,0,1,1,0,0,0,0,0,0,0
aha-mont64,6,00,11,0,1,1,3308,0,3308,0,3308,1887,1421,0,0
aha-mont64,6,00,11,1,1,0,473,473,0,0,0,0,0,0,0
aha-mont64,6,00,11,1,1,1,31626,0,31626,0,17466,17466,0,0,0
aha-mont64,6,01,00,0,1,0,475,475,0,473,0,0,0,473,0
aha-mont64,6,01,00,0,1,1,4734,4734,0,4734,0,0,0,2368,2366
aha-mont64,6,01,00,1,1,0,1,1,0,1,0,0,0,1,0
aha-mont64,6,01,00,1,1,1,946,946,0,474,0,0,0,474,0
