benchmark,stage,issued,resolved,outstanding,squashed,sgf_wrong,shadow_wrong,issued_agree,issued_differ,agree,differ,sgf_only_correct,committed_only_correct,both_correct,both_wrong,oracle_wrong,oracle_correct,oracle_accuracy_pct,oracle_saved_vs_sgf,prediction_change_pct,accepted_prediction_change_pct,oracle_miss_reduction_pct
aha-mont64,6,625827,513691,0,112136,115909,174443,478001,147826,434303,79388,68961,10427,328821,105482,105482,408209,79.4658656663247,10427,15.454426883087303,23.62090481874384,8.995850192823681
aha-mont64,7,563391,513691,0,49700,115909,174443,438726,124665,434303,79388,68961,10427,328821,105482,105482,408209,79.4658656663247,10427,15.454426883087303,22.127616522095668,8.995850192823681
aha-mont64,8,563864,513691,0,50173,115909,174443,437785,126079,433361,80330,69432,10898,328350,105011,105011,408680,79.55755502821735,10898,15.637805606872615,22.35982435480896,9.40220345270859
bench_branch_heavy,6,2375,2045,0,330,550,709,1750,625,1490,555,357,198,1138,352,352,1693,82.78728606356968,198,27.139364303178485,26.31578947368421,36.0
bench_branch_heavy,7,2178,2045,0,133,520,552,1733,445,1625,420,226,194,1299,326,326,1719,84.05867970660147,194,20.537897310513447,20.431588613406795,37.30769230769231
bench_branch_heavy,8,2178,2045,0,133,510,537,1735,443,1628,417,222,195,1313,315,315,1730,84.59657701711491,195,20.39119804400978,20.33976124885216,38.23529411764706
coremark,6,781548,720323,0,61225,101419,179319,673867,107681,624401,95922,86911,9011,531993,92408,92408,627915,87.1713106481398,9011,13.31652605844878,13.77791255303577,8.88492294343269
coremark,7,767640,720323,0,47317,101419,129328,710588,57052,674478,45845,36877,8968,582027,92451,92451,627872,87.16534110392143,8968,6.364505923037304,7.432129644104007,8.84252457626283
coremark,8,767731,720323,0,47408,102054,162372,674679,93052,638431,81892,71105,10787,547164,91267,91267,629056,87.32971180984086,10787,11.368788723947452,12.120391126579491,10.569894369647441
crc32,6,175809,175628,0,181,520,520,175808,1,175628,0,0,0,175108,520,520,175108,99.70391964834765,0,0.0,0.0005687990944718416,0.0
crc32,7,175808,175628,0,180,520,520,175808,0,175628,0,0,0,175108,520,520,175108,99.70391964834765,0,0.0,0.0,0.0
crc32,8,175808,175628,0,180,521,1873,174447,1361,174268,1360,1356,4,173751,517,517,175111,99.70562780422256,4,0.774363996629239,0.7741399708773207,0.7677543186180422
edn,6,345724,345234,0,490,10624,10619,345719,5,345229,5,0,5,334610,10619,10619,334615,96.92411523778075,5,0.0014482930418209098,0.0014462403535768417,0.047063253012048195
edn,7,345724,345234,0,490,10624,10619,345719,5,345229,5,0,5,334610,10619,10619,334615,96.92411523778075,5,0.0014482930418209098,0.0014462403535768417,0.047063253012048195
edn,8,345724,345234,0,490,10624,10619,345719,5,345229,5,0,5,334610,10619,10619,334615,96.92411523778075,5,0.0014482930418209098,0.0014462403535768417,0.047063253012048195
huffbench,6,715501,638861,0,76640,109904,133844,616860,98641,574343,64518,44229,20289,484728,89615,89615,549246,85.97269202533884,20289,10.098910404610706,13.786284016374541,18.46065657300917
huffbench,7,707370,638861,0,68509,109904,133933,611038,96332,574346,64515,44272,20243,484685,89661,89661,549200,85.96549171102947,20243,10.098440818894877,13.618332697174038,18.41880186344446
huffbench,8,704485,638861,0,65624,110193,196559,539419,165066,504533,134328,110347,23981,418321,86212,86212,552649,86.50535875566047,23981,21.02617001194313,23.43073308871019,21.762725399980035
matmult-int,6,470150,467950,0,2200,17092,17128,470064,86,467906,44,40,4,450818,17088,17088,450862,96.34832781280052,4,0.009402713965167219,0.018292034457088165,0.02340276152586005
matmult-int,7,470149,467950,0,2199,17092,17128,470063,86,467906,44,40,4,450818,17088,17088,450862,96.34832781280052,4,0.009402713965167219,0.0182920733639761,0.02340276152586005
matmult-int,8,470149,467950,0,2199,17092,17128,470063,86,467906,44,40,4,450818,17088,17088,450862,96.34832781280052,4,0.009402713965167219,0.0182920733639761,0.02340276152586005
nettle-aes,6,73183,70968,0,2215,7191,16075,60907,12276,59696,11272,10078,1194,53699,5997,5997,64971,91.54971254649983,1194,15.883214970127382,16.774387494363445,16.604088443888195
nettle-aes,7,72393,70968,0,1425,7366,18442,59112,13281,57850,13118,12097,1021,51505,6345,6345,64623,91.0593506932702,1021,18.48438732950062,18.345696407111184,13.860982894379582
nettle-aes,8,72318,70968,0,1350,7363,25645,49403,22915,48218,22750,20516,2234,43089,5129,5129,65839,92.7727990080036,2234,32.056701611994136,31.68644044359634,30.34089365747657
sglib-combined,6,790113,629211,0,160902,144563,189111,670804,119309,527117,102094,73321,28773,411327,115790,115790,513421,81.59758809048157,28773,16.22571760506412,15.10024515480697,19.903433105289736
sglib-combined,7,747490,629211,0,118279,141396,186515,626483,121007,524300,104911,75015,29896,412800,111500,111500,517711,82.27939435260986,29896,16.673421157608498,16.188443992561773,21.143455260403407
sglib-combined,8,751872,629211,0,122661,148990,195665,613879,137993,510762,118449,82562,35887,397659,113103,113103,516108,82.02463084720388,35887,18.82500464867906,18.353256937351038,24.08685146654138
statemate,6,393217,376473,0,16744,56662,69961,373236,19981,356492,19981,16640,3341,303171,53321,53321,323152,85.83670010863993,3341,5.307419124346235,5.081418148248932,5.89636793618298
statemate,7,393216,376473,0,16743,56662,69971,379897,13319,363154,13319,13314,5,306497,56657,56657,319816,84.95058078534184,5,3.537836710733572,3.3871968587239585,0.008824256115209489
statemate,8,393216,376473,0,16743,56662,69971,379897,13319,363154,13319,13314,5,306497,56657,56657,319816,84.95058078534184,5,3.537836710733572,3.3871968587239585,0.008824256115209489
