benchmark,stage,design,cycles,instructions,branches,mispredictions,cpi,mpki,mispredict_rate,checksum
aha-mont64,6,baseline,5606583,4453858,512593,139739,1.258815,31.374822,27.261199,0x00000001
aha-mont64,6,sgf,5534298,4453858,512593,115644,1.242585,25.964905,22.560589,0x00000001
aha-mont64,7,baseline,5905364,4453858,512593,139739,1.325899,31.374822,27.261199,0x00000001
aha-mont64,7,sgf,5832611,4453858,512593,115644,1.309564,25.964905,22.560589,0x00000001
aha-mont64,8,baseline,5917639,4453858,512593,139739,1.328655,31.374822,27.261199,0x00000001
aha-mont64,8,sgf,5844414,4453858,512593,115644,1.312214,25.964905,22.560589,0x00000001
bench_branch_heavy,6,baseline,13520,7106,2013,686,1.902618,96.538137,34.078490,0x00000361
bench_branch_heavy,6,sgf,13088,7106,2013,542,1.841824,76.273572,26.924988,0x00000361
bench_branch_heavy,7,baseline,14515,7106,2013,577,2.042640,81.198987,28.663686,0x00000361
bench_branch_heavy,7,sgf,14352,7106,2013,512,2.019702,72.051787,25.434675,0x00000361
bench_branch_heavy,8,baseline,15173,7106,2013,577,2.135238,81.198987,28.663686,0x00000361
bench_branch_heavy,8,sgf,14953,7106,2013,502,2.104278,70.644526,24.937904,0x00000361
coremark,6,baseline,5310372,2893145,719810,154077,1.835502,53.255886,21.405232,0x0000000a
coremark,6,sgf,5152395,2893145,719810,101418,1.780898,35.054586,14.089551,0x0000000a
coremark,7,baseline,5856929,2893145,719810,147760,2.024416,51.072449,20.527639,0x0000000a
coremark,7,sgf,5696997,2893145,719810,101418,1.969136,35.054586,14.089551,0x0000000a
coremark,8,baseline,6323069,2893145,719810,147760,2.185535,51.072449,20.527639,0x0000000a
coremark,8,sgf,6165355,2893145,719810,102053,2.131022,35.274070,14.177769,0x0000000a
crc32,6,baseline,5578969,4008648,174591,344,1.391733,0.085814,0.197032,0x00000001
crc32,6,sgf,5579470,4008648,174591,511,1.391858,0.127474,0.292684,0x00000001
crc32,7,baseline,6102235,4008648,174591,344,1.522268,0.085814,0.197032,0x00000001
crc32,7,sgf,6102737,4008648,174591,511,1.522393,0.127474,0.292684,0x00000001
crc32,8,baseline,6276316,4008648,174591,344,1.565694,0.085814,0.197032,0x00000001
crc32,8,sgf,6276824,4008648,174591,513,1.565821,0.127973,0.293830,0x00000001
edn,6,baseline,4961349,2972527,338986,10452,1.669068,3.516200,3.083313,0x00000001
edn,6,sgf,4961349,2972527,338986,10452,1.669068,3.516200,3.083313,0x00000001
edn,7,baseline,5300503,2972527,338986,10452,1.783164,3.516200,3.083313,0x00000001
edn,7,sgf,5300503,2972527,338986,10452,1.783164,3.516200,3.083313,0x00000001
edn,8,baseline,5823604,2972527,338986,10452,1.959143,3.516200,3.083313,0x00000001
edn,8,sgf,5823604,2972527,338986,10452,1.959143,3.516200,3.083313,0x00000001
huffbench,6,baseline,3912237,2098752,638859,191088,1.864078,91.048394,29.910825,0x00000000
huffbench,6,sgf,3668682,2098752,638859,109903,1.748030,52.365882,17.203013,0x00000000
huffbench,7,baseline,4451076,2098752,638859,191090,2.120820,91.049347,29.911138,0x00000000
huffbench,7,sgf,4124149,2098752,638859,109903,1.965048,52.365882,17.203013,0x00000000
huffbench,8,baseline,4867504,2098752,638859,191090,2.319237,91.049347,29.911138,0x00000000
huffbench,8,sgf,4542206,2098752,638859,110192,2.164241,52.503583,17.248250,0x00000000
matmult-int,6,baseline,4969546,3092573,453376,16653,1.606929,5.384837,3.673110,0x00000000
matmult-int,6,sgf,4969330,3092573,453376,16581,1.606859,5.361555,3.657229,0x00000000
matmult-int,7,baseline,5423045,3092573,453376,16653,1.753571,5.384837,3.673110,0x00000000
matmult-int,7,sgf,5422792,3092573,453376,16581,1.753489,5.361555,3.657229,0x00000000
matmult-int,8,baseline,6171847,3092573,453376,16653,1.995700,5.384837,3.673110,0x00000000
matmult-int,8,sgf,6171594,3092573,453376,16581,1.995618,5.361555,3.657229,0x00000000
nettle-aes,6,baseline,5267277,4251052,69541,9123,1.239053,2.146057,13.118880,0x00000000
nettle-aes,6,sgf,5261016,4251052,69541,7036,1.237580,1.655120,10.117772,0x00000000
nettle-aes,7,baseline,5329453,4251052,69541,9123,1.253679,2.146057,13.118880,0x00000000
nettle-aes,7,sgf,5323855,4251052,69541,7233,1.252362,1.701461,10.401058,0x00000000
nettle-aes,8,baseline,5976595,4251052,69541,9123,1.405910,2.146057,13.118880,0x00000000
nettle-aes,8,sgf,5970984,4251052,69541,7229,1.404590,1.700520,10.395306,0x00000000
sglib-combined,6,baseline,4520538,2431970,607229,175477,1.858797,72.154262,28.897994,0x00000000
sglib-combined,6,sgf,4414185,2431970,607229,140026,1.815066,57.577191,23.059834,0x00000000
sglib-combined,7,baseline,5009925,2431970,607229,175043,2.060027,71.975806,28.826522,0x00000000
sglib-combined,7,sgf,4873739,2431970,607229,136959,2.004029,56.316073,22.554753,0x00000000
sglib-combined,8,baseline,5463984,2431970,607229,175043,2.246732,71.975806,28.826522,0x00000000
sglib-combined,8,sgf,5353364,2431970,607229,144334,2.201246,59.348594,23.769286,0x00000000
statemate,6,baseline,4335743,3160225,376291,69933,1.371973,22.129121,18.584819,0x00000000
statemate,6,sgf,4295825,3160225,376291,56627,1.359342,17.918661,15.048726,0x00000000
statemate,7,baseline,4742011,3160225,376291,73263,1.500530,23.182843,19.469772,0x00000000
statemate,7,sgf,4692103,3160225,376291,56627,1.484737,17.918661,15.048726,0x00000000
statemate,8,baseline,5371382,3160225,376291,73263,1.699683,23.182843,19.469772,0x00000000
statemate,8,sgf,5321474,3160225,376291,56627,1.683891,17.918661,15.048726,0x00000000
