scope,benchmark,stage,grouping,group,data_status,disagreement_cases,sgf_correct_count,committed_history_correct_count,sgf_win_pct,committed_history_win_pct,more_often_correct
overall,ALL,ALL,all_disagreements,all,observed,1148238,920233,228005,80.143054,19.856946,SGF
overall,ALL,ALL,sgf_pht_counter,00,observed,545837,470646,75191,86.224642,13.775358,SGF
overall,ALL,ALL,sgf_pht_counter,01,observed,108769,68437,40332,62.919582,37.080418,SGF
overall,ALL,ALL,sgf_pht_counter,10,observed,97201,46942,50259,48.293742,51.706258,committed_history
overall,ALL,ALL,sgf_pht_counter,11,observed,396431,334208,62223,84.304204,15.695796,SGF
overall,ALL,ALL,shadow_pht_counter,00,observed,278351,209089,69262,75.117028,24.882972,SGF
overall,ALL,ALL,shadow_pht_counter,01,observed,215281,172061,43220,79.923913,20.076087,SGF
overall,ALL,ALL,shadow_pht_counter,10,observed,122718,97247,25471,79.244284,20.755716,SGF
overall,ALL,ALL,shadow_pht_counter,11,observed,531888,441836,90052,83.069368,16.930632,SGF
overall,ALL,ALL,unresolved_branch_depth,0,observed,226378,156004,70374,68.913057,31.086943,SGF
overall,ALL,ALL,unresolved_branch_depth,1,observed,789461,650028,139433,82.338203,17.661797,SGF
overall,ALL,ALL,unresolved_branch_depth,2,observed,132397,114199,18198,86.254976,13.745024,SGF
overall,ALL,ALL,unresolved_branch_depth,3,observed,2,2,0,100.000000,0.000000,SGF
overall,ALL,ALL,ghr_hamming_distance,0,known_zero,0,0,0,,,no_cases
overall,ALL,ALL,ghr_hamming_distance,1,unavailable,,,,,,unavailable
overall,ALL,ALL,ghr_hamming_distance,2,unavailable,,,,,,unavailable
overall,ALL,ALL,ghr_hamming_distance,3,unavailable,,,,,,unavailable
overall,ALL,ALL,ghr_hamming_distance,4,unavailable,,,,,,unavailable
overall,ALL,ALL,ghr_hamming_distance,5,unavailable,,,,,,unavailable
overall,ALL,ALL,ghr_hamming_distance,6,unavailable,,,,,,unavailable
overall,ALL,ALL,ghr_hamming_distance,nonzero_distance_unknown,partially_observed,1148238,920233,228005,80.143054,19.856946,SGF
overall,ALL,ALL,ghr_bit_difference,same_history,known_zero,0,0,0,,,no_cases
overall,ALL,ALL,ghr_bit_difference,one_bit,unavailable,,,,,,unavailable
overall,ALL,ALL,ghr_bit_difference,multiple_bits,unavailable,,,,,,unavailable
overall,ALL,ALL,ghr_bit_difference,one_or_multiple_unknown,partially_observed,1148238,920233,228005,80.143054,19.856946,SGF
overall,ALL,6,all_disagreements,all,observed,373779,300537,73242,80.404999,19.595001,SGF
overall,ALL,6,sgf_pht_counter,00,observed,191291,169078,22213,88.387849,11.612151,SGF
overall,ALL,6,sgf_pht_counter,01,observed,35330,21060,14270,59.609397,40.390603,SGF
overall,ALL,6,sgf_pht_counter,10,observed,29850,13657,16193,45.752094,54.247906,committed_history
overall,ALL,6,sgf_pht_counter,11,observed,117308,96742,20566,82.468374,17.531626,SGF
overall,ALL,6,shadow_pht_counter,00,observed,89861,67387,22474,74.990263,25.009737,SGF
overall,ALL,6,shadow_pht_counter,01,observed,57297,43012,14285,75.068503,24.931497,SGF
overall,ALL,6,shadow_pht_counter,10,observed,40524,32609,7915,80.468364,19.531636,SGF
overall,ALL,6,shadow_pht_counter,11,observed,186097,157529,28568,84.648866,15.351134,SGF
overall,ALL,6,unresolved_branch_depth,0,observed,58928,40315,18613,68.413997,31.586003,SGF
overall,ALL,6,unresolved_branch_depth,1,observed,270403,221879,48524,82.054933,17.945067,SGF
overall,ALL,6,unresolved_branch_depth,2,observed,44446,38341,6105,86.264231,13.735769,SGF
overall,ALL,6,unresolved_branch_depth,3,observed,2,2,0,100.000000,0.000000,SGF
overall,ALL,6,ghr_hamming_distance,0,known_zero,0,0,0,,,no_cases
overall,ALL,6,ghr_hamming_distance,1,unavailable,,,,,,unavailable
overall,ALL,6,ghr_hamming_distance,2,unavailable,,,,,,unavailable
overall,ALL,6,ghr_hamming_distance,3,unavailable,,,,,,unavailable
overall,ALL,6,ghr_hamming_distance,4,unavailable,,,,,,unavailable
overall,ALL,6,ghr_hamming_distance,5,unavailable,,,,,,unavailable
overall,ALL,6,ghr_hamming_distance,6,unavailable,,,,,,unavailable
overall,ALL,6,ghr_hamming_distance,nonzero_distance_unknown,partially_observed,373779,300537,73242,80.404999,19.595001,SGF
overall,ALL,6,ghr_bit_difference,same_history,known_zero,0,0,0,,,no_cases
overall,ALL,6,ghr_bit_difference,one_bit,unavailable,,,,,,unavailable
overall,ALL,6,ghr_bit_difference,multiple_bits,unavailable,,,,,,unavailable
overall,ALL,6,ghr_bit_difference,one_or_multiple_unknown,partially_observed,373779,300537,73242,80.404999,19.595001,SGF
overall,ALL,7,all_disagreements,all,observed,321565,250802,70763,77.994185,22.005815,SGF
