simulator,benchmark,stage,design,cycles,instructions,branches,mispredictions,cpi,mpki,mispredict_rate,checksum
icarus,bench_branch_heavy,6,baseline,13520,7106,2013,686,1.902618,96.538137,34.078490,0x00000361
verilator,bench_branch_heavy,6,baseline,13520,7106,2013,686,1.902618,96.538137,34.078490,0x00000361
icarus,bench_branch_heavy,6,sgf,13088,7106,2013,542,1.841824,76.273572,26.924988,0x00000361
verilator,bench_branch_heavy,6,sgf,13088,7106,2013,542,1.841824,76.273572,26.924988,0x00000361
icarus,bench_branch_heavy,7,baseline,14515,7106,2013,577,2.042640,81.198987,28.663686,0x00000361
verilator,bench_branch_heavy,7,baseline,14515,7106,2013,577,2.042640,81.198987,28.663686,0x00000361
icarus,bench_branch_heavy,7,sgf,14352,7106,2013,512,2.019702,72.051787,25.434675,0x00000361
verilator,bench_branch_heavy,7,sgf,14352,7106,2013,512,2.019702,72.051787,25.434675,0x00000361
icarus,bench_branch_heavy,8,baseline,15173,7106,2013,577,2.135238,81.198987,28.663686,0x00000361
verilator,bench_branch_heavy,8,baseline,15173,7106,2013,577,2.135238,81.198987,28.663686,0x00000361
icarus,bench_branch_heavy,8,sgf,14953,7106,2013,502,2.104278,70.644526,24.937904,0x00000361
verilator,bench_branch_heavy,8,sgf,14953,7106,2013,502,2.104278,70.644526,24.937904,0x00000361
icarus,coremark,6,baseline,5310372,2893145,719810,154077,1.835502,53.255886,21.405232,0x0000000a
verilator,coremark,6,baseline,5310372,2893145,719810,154077,1.835502,53.255886,21.405232,0x0000000a
icarus,coremark,6,sgf,5152395,2893145,719810,101418,1.780898,35.054586,14.089551,0x0000000a
verilator,coremark,6,sgf,5152395,2893145,719810,101418,1.780898,35.054586,14.089551,0x0000000a
icarus,coremark,7,baseline,5856929,2893145,719810,147760,2.024416,51.072449,20.527639,0x0000000a
verilator,coremark,7,baseline,5856929,2893145,719810,147760,2.024416,51.072449,20.527639,0x0000000a
icarus,coremark,7,sgf,5696997,2893145,719810,101418,1.969136,35.054586,14.089551,0x0000000a
verilator,coremark,7,sgf,5696997,2893145,719810,101418,1.969136,35.054586,14.089551,0x0000000a
icarus,coremark,8,baseline,6323069,2893145,719810,147760,2.185535,51.072449,20.527639,0x0000000a
verilator,coremark,8,baseline,6323069,2893145,719810,147760,2.185535,51.072449,20.527639,0x0000000a
icarus,coremark,8,sgf,6165355,2893145,719810,102053,2.131022,35.274070,14.177769,0x0000000a
verilator,coremark,8,sgf,6165355,2893145,719810,102053,2.131022,35.274070,14.177769,0x0000000a
icarus,crc32,6,baseline,5578969,4008648,174591,344,1.391733,0.085814,0.197032,0x00000001
verilator,crc32,6,baseline,5578969,4008648,174591,344,1.391733,0.085814,0.197032,0x00000001
icarus,crc32,6,sgf,5579470,4008648,174591,511,1.391858,0.127474,0.292684,0x00000001
verilator,crc32,6,sgf,5579470,4008648,174591,511,1.391858,0.127474,0.292684,0x00000001
icarus,crc32,7,baseline,6102235,4008648,174591,344,1.522268,0.085814,0.197032,0x00000001
verilator,crc32,7,baseline,6102235,4008648,174591,344,1.522268,0.085814,0.197032,0x00000001
icarus,crc32,7,sgf,6102737,4008648,174591,511,1.522393,0.127474,0.292684,0x00000001
verilator,crc32,7,sgf,6102737,4008648,174591,511,1.522393,0.127474,0.292684,0x00000001
icarus,crc32,8,baseline,6276316,4008648,174591,344,1.565694,0.085814,0.197032,0x00000001
verilator,crc32,8,baseline,6276316,4008648,174591,344,1.565694,0.085814,0.197032,0x00000001
icarus,crc32,8,sgf,6276824,4008648,174591,513,1.565821,0.127973,0.293830,0x00000001
verilator,crc32,8,sgf,6276824,4008648,174591,513,1.565821,0.127973,0.293830,0x00000001
icarus,huffbench,6,baseline,3912237,2098752,638859,191088,1.864078,91.048394,29.910825,0x00000000
verilator,huffbench,6,baseline,3912237,2098752,638859,191088,1.864078,91.048394,29.910825,0x00000000
icarus,huffbench,6,sgf,3668682,2098752,638859,109903,1.748030,52.365882,17.203013,0x00000000
verilator,huffbench,6,sgf,3668682,2098752,638859,109903,1.748030,52.365882,17.203013,0x00000000
icarus,huffbench,7,baseline,4451076,2098752,638859,191090,2.120820,91.049347,29.911138,0x00000000
verilator,huffbench,7,baseline,4451076,2098752,638859,191090,2.120820,91.049347,29.911138,0x00000000
icarus,huffbench,7,sgf,4124149,2098752,638859,109903,1.965048,52.365882,17.203013,0x00000000
verilator,huffbench,7,sgf,4124149,2098752,638859,109903,1.965048,52.365882,17.203013,0x00000000
icarus,huffbench,8,baseline,4867504,2098752,638859,191090,2.319237,91.049347,29.911138,0x00000000
verilator,huffbench,8,baseline,4867504,2098752,638859,191090,2.319237,91.049347,29.911138,0x00000000
icarus,huffbench,8,sgf,4542206,2098752,638859,110192,2.164241,52.503583,17.248250,0x00000000
verilator,huffbench,8,sgf,4542206,2098752,638859,110192,2.164241,52.503583,17.248250,0x00000000
