"stage","design","run_label","commit","tool_version","part","clock_period_ns","luts","ffs","dsps","bram_tiles","wns_ns","fmax_estimated_mhz","critical_startpoint","critical_endpoint","critical_path_delay_ns","route_complete","hold_wns_ns","status"
"6","baseline","default","dabefb19ef967db84bb55bc925f5499afc982643","2024.2","xc7a35tcpg236-1","5.000","7614","8438","12","0","-3.625","115.942029","u_pc/pc_out_reg[3]_rep__5/C","u_icache/data_reg[20][13]/CE","8.336","true","0.112","success"
"6","baseline","explore","dabefb19ef967db84bb55bc925f5499afc982643","2024.2","xc7a35tcpg236-1","5.000","7615","8438","12","0","-3.607","116.184501","u_pc/pc_out_reg[3]_rep__4/C","u_icache/data_reg[58][12]/CE","8.318","true","0.104","success"
"6","baseline","wlblock","dabefb19ef967db84bb55bc925f5499afc982643","2024.2","xc7a35tcpg236-1","5.000","7614","8440","12","0","-3.786","113.817437","u_icache/tags_reg[26][6]/C","u_icache/data_reg[44][0]/CE","8.497","true","0.123","success"
"6","sgf","default","dabefb19ef967db84bb55bc925f5499afc982643","2024.2","xc7a35tcpg236-1","5.000","7646","8613","12","0","-3.966","111.532456","u_pc/pc_out_reg[3]_rep__5/C","u_icache/tags_reg[15][6]/CE","8.677","true","0.086","success"
"6","sgf","explore","dabefb19ef967db84bb55bc925f5499afc982643","2024.2","xc7a35tcpg236-1","5.000","7645","8613","12","0","-3.950","111.731844","u_pc/pc_out_reg[3]_rep__5/C","u_icache/data_reg[50][31]/CE","8.661","true","0.100","success"
"6","sgf","wlblock","dabefb19ef967db84bb55bc925f5499afc982643","2024.2","xc7a35tcpg236-1","5.000","7637","8613","12","0","-4.059","110.387460","u_pc/pc_out_reg[3]_rep__5/C","u_icache/data_reg[50][30]/CE","8.806","true","0.085","success"
"7","baseline","default","dabefb19ef967db84bb55bc925f5499afc982643","2024.2","xc7a35tcpg236-1","5.000","7755","8535","12","0","-3.762","114.129194","u_pc/pc_out_reg[3]_rep__2/C","u_icache/data_reg[7][13]/CE","8.473","true","0.095","success"
"7","baseline","explore","dabefb19ef967db84bb55bc925f5499afc982643","2024.2","xc7a35tcpg236-1","5.000","7754","8535","12","0","-3.768","114.051095","u_pc/pc_out_reg[2]_rep__2/C","u_icache/data_reg[14][12]/CE","8.479","true","0.104","success"
"7","baseline","wlblock","dabefb19ef967db84bb55bc925f5499afc982643","2024.2","xc7a35tcpg236-1","5.000","7756","8584","12","0","-3.611","116.130531","u_ex1_ex2/csr_addr_out_reg[4]/C","u_csr/mcycle_reg[61]/D","8.636","true","0.106","success"
"7","sgf","default","dabefb19ef967db84bb55bc925f5499afc982643","2024.2","xc7a35tcpg236-1","5.000","7817","8557","12","0","-3.869","112.752283","u_pc/pc_out_reg[2]_rep__0/C","u_icache/data_reg[42][22]/CE","8.580","true","0.108","success"
"7","sgf","explore","dabefb19ef967db84bb55bc925f5499afc982643","2024.2","xc7a35tcpg236-1","5.000","7816","8557","12","0","-3.869","112.752283","u_ex1_ex2/csr_addr_out_reg[0]/C","u_csr/mcycle_reg[61]/D","8.847","true","0.093","success"
"7","sgf","wlblock","dabefb19ef967db84bb55bc925f5499afc982643","2024.2","xc7a35tcpg236-1","5.000","7811","8557","12","0","-3.885","112.549240","u_pc/pc_out_reg[3]_rep__2/C","u_icache/data_reg[36][23]/CE","8.596","true","0.108","success"
"8","baseline","default","dabefb19ef967db84bb55bc925f5499afc982643","2024.2","xc7a35tcpg236-1","5.000","7819","8731","12","0","-3.620","116.009281","u_pc/pc_out_reg[3]_rep__2/C","u_icache/data_reg[33][7]/CE","8.331","true","0.096","success"
"8","baseline","explore","dabefb19ef967db84bb55bc925f5499afc982643","2024.2","xc7a35tcpg236-1","5.000","7819","8731","12","0","-3.415","118.835413","u_if1_if2/pc_out_reg[4]_rep__0/C","u_pc/pc_out_reg[2]_rep__3/D","8.250","true","0.113","success"
"8","baseline","wlblock","dabefb19ef967db84bb55bc925f5499afc982643","2024.2","xc7a35tcpg236-1","5.000","7808","8716","12","0","-3.544","117.041199","u_ex1_ex2/csr_addr_out_reg[1]/C","u_csr/mcycle_reg[61]/D","8.569","true","0.100","success"
"8","sgf","default","dabefb19ef967db84bb55bc925f5499afc982643","2024.2","xc7a35tcpg236-1","5.000","7871","8748","12","0","-3.801","113.623452","u_pc/pc_out_reg[3]_rep__0/C","u_icache/data_reg[45][24]/CE","8.512","true","0.102","success"
"8","sgf","explore","dabefb19ef967db84bb55bc925f5499afc982643","2024.2","xc7a35tcpg236-1","5.000","7866","8748","12","0","-3.739","114.429569","u_pc/pc_out_reg[2]_rep__3/C","u_icache/data_reg[31][19]/CE","8.450","true","0.102","success"
"8","sgf","wlblock","dabefb19ef967db84bb55bc925f5499afc982643","2024.2","xc7a35tcpg236-1","5.000","7862","8744","12","0","-3.866","112.790435","u_pc/pc_out_reg[3]_rep__2/C","u_icache/data_reg[35][16]/CE","8.613","true","0.066","success"
