=== Multi-Run Synthesis Results ===
=== Wed May 20 18:55:15 -0500 2026 ===
variant,run,Fmax_MHz,WNS_ns,LUTs,FFs
4stage,1,75.9,-8.181,6606,7951
4stage,2,76.5,-8.077,6604,7965
4stage,3,73.1,-8.686,6606,7951
5stage,1,75.9,-8.183,6797,8121
5stage,2,77.4,-7.913,6805,8130
5stage,3,74.0,-8.507,6792,8121
6stage,1,115.5,-3.657,7028,8416
6stage,2,118.1,-3.465,7025,8407
6stage,3,118.1,-3.464,7028,8416
7stage,1,114.4,-3.741,7073,8487
7stage,2,118.8,-3.418,7065,8492
7stage,3,115.7,-3.643,7073,8487
8stage,1,119.2,-3.388,7124,8625
8stage,2,124.6,-3.026,7140,8624
8stage,3,117.2,-3.535,7124,8625
