=== Multi-Run Extended Synthesis Results (10 seeds) ===
=== Thu May 21 17:36:32 -0500 2026 ===
variant,run,Fmax_MHz,WNS_ns,LUTs,FFs
4stage,1,71.4,-9.004,7219,8040
4stage,2,71.4,-9.009,7226,8077
4stage,3,70.8,-9.120,7219,8040
4stage,4,73.8,-8.549,7209,8060
4stage,5,71.4,-9.004,7219,8040
4stage,6,65.1,-10.360,7202,7965
4stage,7,69.0,-9.490,7226,8077
4stage,8,72.5,-8.784,7215,7972
4stage,9,69.4,-9.414,7220,8040
4stage,10,69.0,-9.490,7226,8077
5stage,1,74.2,-8.477,7429,8190
5stage,2,76.8,-8.021,7433,8158
5stage,3,71.8,-8.924,7429,8190
5stage,4,75.9,-8.169,7426,8235
5stage,5,74.2,-8.477,7429,8190
5stage,6,73.3,-8.636,7412,8186
5stage,7,73.6,-8.582,7432,8158
5stage,8,74.3,-8.461,7431,8172
5stage,9,72.1,-8.874,7429,8190
5stage,10,73.6,-8.582,7432,8158
6stage,1,116.2,-3.604,7635,8495
6stage,2,116.5,-3.582,7630,8509
6stage,3,115.5,-3.660,7634,8495
6stage,4,120.3,-3.315,7635,8498
6stage,5,116.2,-3.604,7635,8495
6stage,6,118.1,-3.464,7617,8510
6stage,7,117.2,-3.534,7631,8509
6stage,8,118.2,-3.461,7612,8501
6stage,9,117.7,-3.497,7635,8495
6stage,10,117.2,-3.534,7631,8509
7stage,1,115.1,-3.690,7768,8544
7stage,2,114.7,-3.715,7765,8550
7stage,3,112.3,-3.906,7768,8544
7stage,4,117.5,-3.511,7769,8555
7stage,5,115.1,-3.690,7768,8544
7stage,6,113.3,-3.827,7741,8542
7stage,7,116.5,-3.585,7766,8550
7stage,8,117.4,-3.520,7765,8565
7stage,9,111.7,-3.953,7768,8544
7stage,10,116.5,-3.585,7766,8550
8stage,1,116.1,-3.612,7845,8678
8stage,2,119.1,-3.397,7840,8672
8stage,3,114.2,-3.754,7845,8678
8stage,4,120.0,-3.333,7849,8718
8stage,5,116.1,-3.612,7845,8678
8stage,6,116.3,-3.596,7822,8676
8stage,7,118.0,-3.477,7840,8672
8stage,8,119.7,-3.354,7839,8680
8stage,9,117.2,-3.535,7845,8678
8stage,10,118.0,-3.477,7840,8672
